Based on the data from ratemyprofessor.com, we collect the difficulty and quality for each (professor,course) pair(3680 professors * 5-10 courses each).
Also, we try to count the frequency of positive and negative words in students' comment and add/subtract points based on those data.

Some examples of the final rating we provide:
(u'MCBRIDE, J', u'ESPM102A') -0.03125
(u'MCBRIDE, J', u'ESPM102') 0.0625
(u'KUZMA, M', u'CHOIR140') 0.0147058823529
(u'KUZMA, M', u'145') -0.00735294117647
(u'KUZMA, M', u'UNIVCHOR') 0.0294117647059
(u'KUZMA, M', u'MUSIC144') 0.0955882352941
(u'KUZMA, M', u'MUSIC145') 0.0220588235294
(u'KUZMA, M', u'MUS150B') 0.00735294117647
(u'KUZMA, M', u'144') 0.0
(u'KUZMA, M', u'CHOIRA') 0.0441176470588
(u'KUZMA, M', u'SLCB') 0.0
(u'KUZMA, M', u'MUS144') 0.0147058823529
(u'MORRIS, S', u'ME108') 0.125
(u'MORRIS, S', u'ME106') 0.166666666667
(u'KROIZ, L', u'HISTAR11') 0.208333333333
(u'KROIZ, L', u'ARTHIST11') 0.0833333333333
(u'KROIZ, L', u'HA100') 0.0833333333333
(u'VISHWANATH, A', u'PHYS250') 0.75
(u'STERN, G', u'HISA10') -0.0416666666667
(u'STERN, G', u'LATN111') -0.166666666667
(u'STERN, G', u'HISARR1B') -0.125
(u'STERN, G', u'HISTR1B') -0.125
(u'STERN, G', u'R1') -0.104166666667
(u'BUKHARI, A', u'PS140J') 0.0357142857143
(u'BUKHARI, A', u'PS137') 0.0714285714286
(u'BUKHARI, A', u'PS137A') 0.357142857143
(u'SPEIRS, K', u'ENG118') 0.0769230769231
(u'SPEIRS, K', u'ENGLISH130D') 0.0192307692308
(u'SPEIRS, K', u'ENGL132') 0.0
(u'SPEIRS, K', u'ENG132') 0.0769230769231
(u'SPEIRS, K', u'180N') 0.0673076923077
(u'SPEIRS, K', u'ENG130') 0.0384615384615
(u'SPEIRS, K', u'ENG180N') 0.0576923076923
(u'MAZZOTTI, M', u'HIST182A') 0.375
(u'MAZZOTTI, M', u'STS100G') 0.5
(u'WENK, R', u'EPS100A') 0.0
(u'KHESHTI, R', u'GWS20ANDGWS') -0.0416666666667
(u'KHESHTI, R', u'WGS111') -0.0416666666667
(u'KHESHTI, R', u'ETHN127') 0.166666666667
(u'KHESHTI, R', u'GWS141') 0.125
(u'KHESHTI, R', u'GWS144') 0.0625
(u'KHESHTI, R', u'GWS104') -0.0208333333333
(u'OSPINA, J', u'SPAN0003') 0.25
(u'OSPINA, J', u'SPAN25') 0.5
(u'STERN, R', u'LS161') -0.0833333333333
(u'STERN, R', u'LS190') 0.166666666667
(u'STERN, R', u'LEGSTU190JPND') 0.0833333333333
(u'WEISBLAT, D', u'BIO1A') -0.25
(u'HUTCHINGS, M', u'MATH53') 0.18125
(u'HUTCHINGS, M', u'53') 0.01875
(u'HUTCHINGS, M', u'MATH113') 0.00625
(u'HUTCHINGS, M', u'MATH110') -0.0375
(u'HUTCHINGS, M', u'MATHW53') 0.04375
(u'HUTCHINGS, M', u'MATH1A') 0.025
(u'HUTCHINGS, M', u'MATH185') 0.025
(u'GIOVANINI, F', u'MESUMM') 0.0178571428571
(u'GIOVANINI, F', u'PAX119') 0.0
(u'GIOVANINI, F', u'PACS119') 0.0446428571429
(u'GIOVANINI, F', u'PACS10') 0.116071428571
(u'PREMNATH, G', u'ENGLISH45C') -0.0909090909091
(u'PREMNATH, G', u'ENG138') -0.0568181818182
(u'PREMNATH, G', u'ENG45') -0.0227272727273
(u'PREMNATH, G', u'ENG45C') -0.193181818182
(u'PREMNATH, G', u'ENG139') -0.0454545454545
(u'PREMNATH, G', u'ENGH195') 0.0
